age,education,employment,income,marital,children,housing,vehicle,health,region
48,postgraduate,self_employed,middle,married,2_plus,rent,1,fair,urban
75,bachelor,retired,middle,married,2_plus,rent,1,good,rural
75,vocational,retired,low,single,0,owned,0,poor,rural
25,bachelor,unemployed,low,separated,1,rent,0,good,urban
19,vocational,employed,high,separated,1,mortgage,2_plus,poor,urban
70,postgraduate,retired,low,single,0,rent,1,poor,suburban
68,bachelor,retired,high,separated,0,owned,0,good,urban
72,vocational,employed,high,single,1,rent,1,good,rural
50,vocational,retired,middle,married,1,rent,0,good,urban
39,postgraduate,student,low,single,2_plus,rent,0,good,urban
22,postgraduate,student,middle,single,0,owned,2_plus,fair,rural
70,postgraduate,retired,middle,single,2_plus,rent,2_plus,fair,suburban
25,high_school,unemployed,low,married,1,mortgage,0,good,urban
41,vocational,employed,high,single,2_plus,rent,2_plus,poor,urban
26,bachelor,employed,low,separated,2_plus,rent,1,good,suburban
46,bachelor,self_employed,low,married,2_plus,rent,0,good,urban
63,postgraduate,retired,low,married,2_plus,rent,0,fair,urban
28,bachelor,employed,middle,married,1,owned,1,good,rural
20,vocational,retired,middle,separated,1,owned,1,good,rural
53,high_school,employed,low,married,1,rent,1,fair,suburban
50,vocational,employed,middle,single,0,mortgage,1,fair,urban
35,high_school,employed,low,single,0,rent,0,fair,rural
27,high_school,retired,low,single,0,rent,2_plus,fair,urban
21,bachelor,employed,low,married,1,owned,1,good,suburban
51,postgraduate,retired,middle,married,2_plus,owned,1,fair,suburban
54,bachelor,employed,high,married,0,owned,0,fair,rural
63,high_school,unemployed,low,married,2_plus,rent,2_plus,fair,urban
62,vocational,student,low,married,2_plus,rent,0,good,suburban
65,bachelor,employed,low,single,0,mortgage,0,poor,urban
35,postgraduate,self_employed,middle,single,2_plus,rent,1,fair,urban
41,vocational,employed,low,single,0,owned,2_plus,good,rural
78,postgraduate,retired,middle,separated,1,rent,1,poor,urban
55,bachelor,unemployed,middle,married,2_plus,rent,2_plus,good,suburban
52,high_school,employed,low,single,2_plus,rent,0,fair,urban
28,vocational,unemployed,low,married,1,owned,0,good,urban
51,bachelor,employed,high,married,2_plus,owned,1,good,suburban
43,postgraduate,employed,low,single,0,owned,0,good,rural
43,vocational,employed,middle,married,0,mortgage,1,good,rural
30,vocational,employed,low,married,1,rent,0,good,urban
47,high_school,employed,high,single,0,owned,0,good,urban
27,postgraduate,employed,high,single,0,owned,0,fair,urban
23,postgraduate,employed,low,separated,2_plus,owned,2_plus,good,rural
52,bachelor,unemployed,middle,single,0,owned,0,fair,suburban
25,bachelor,employed,high,single,0,owned,1,fair,suburban
55,bachelor,employed,middle,single,0,owned,1,good,suburban
62,vocational,retired,middle,married,2_plus,mortgage,1,good,rural
72,bachelor,retired,low,married,1,rent,0,poor,urban
75,vocational,retired,middle,separated,2_plus,owned,2_plus,poor,rural
42,bachelor,employed,low,married,0,rent,1,good,suburban
60,bachelor,employed,middle,separated,2_plus,rent,2_plus,good,suburban
26,high_school,self_employed,low,married,2_plus,rent,0,fair,urban
34,high_school,employed,middle,separated,0,mortgage,0,good,suburban
21,high_school,employed,middle,married,1,owned,1,good,urban
48,bachelor,unemployed,middle,separated,2_plus,rent,1,good,urban
42,bachelor,employed,high,single,0,owned,1,good,suburban
58,bachelor,employed,middle,married,1,rent,0,good,suburban
41,bachelor,unemployed,middle,married,2_plus,owned,1,good,rural
57,vocational,employed,middle,married,2_plus,owned,2_plus,poor,urban
23,bachelor,employed,middle,married,0,mortgage,1,good,suburban
44,bachelor,employed,high,separated,2_plus,rent,1,good,urban
62,high_school,unemployed,low,separated,1,rent,1,good,suburban
70,postgraduate,employed,middle,married,1,rent,1,poor,urban
18,high_school,unemployed,low,married,2_plus,rent,0,good,urban
21,vocational,self_employed,low,married,1,mortgage,0,fair,rural
33,bachelor,employed,high,married,2_plus,mortgage,0,good,suburban
49,bachelor,employed,low,married,0,owned,0,fair,rural
49,high_school,unemployed,low,married,2_plus,mortgage,0,fair,rural
68,vocational,retired,middle,single,0,rent,2_plus,good,urban
58,bachelor,employed,low,single,0,owned,0,fair,suburban
41,postgraduate,self_employed,low,married,1,rent,0,good,suburban
36,high_school,employed,middle,married,1,mortgage,0,good,rural
47,high_school,student,low,separated,1,rent,1,good,suburban
42,vocational,employed,middle,married,2_plus,mortgage,2_plus,fair,urban
29,bachelor,self_employed,middle,separated,1,mortgage,1,fair,suburban
36,high_school,employed,middle,single,0,mortgage,1,good,suburban
22,high_school,unemployed,low,married,1,mortgage,0,good,urban
79,postgraduate,retired,middle,married,1,mortgage,2_plus,fair,rural
65,high_school,retired,low,married,1,rent,0,good,rural
28,high_school,employed,low,separated,1,rent,2_plus,good,suburban
56,high_school,employed,middle,separated,1,owned,0,good,suburban
75,vocational,retired,middle,separated,2_plus,rent,1,fair,urban
64,bachelor,employed,middle,married,2_plus,mortgage,1,fair,suburban
53,vocational,employed,middle,single,0,owned,1,good,suburban
72,bachelor,retired,middle,separated,2_plus,owned,1,poor,suburban
42,high_school,employed,middle,married,0,owned,0,fair,urban
49,postgraduate,employed,middle,married,2_plus,owned,1,good,urban
42,high_school,unemployed,low,married,2_plus,mortgage,2_plus,fair,suburban
26,postgraduate,employed,middle,married,0,mortgage,0,fair,suburban
47,vocational,employed,low,single,0,owned,0,good,rural
33,postgraduate,student,low,married,2_plus,owned,0,good,rural
33,bachelor,employed,middle,separated,0,mortgage,2_plus,good,rural
44,vocational,self_employed,low,separated,2_plus,rent,0,good,rural
52,postgraduate,unemployed,low,single,0,mortgage,0,good,suburban
80,bachelor,employed,middle,married,2_plus,owned,0,poor,urban
64,vocational,retired,middle,married,1,owned,1,good,urban
58,vocational,self_employed,middle,single,0,mortgage,1,poor,suburban
40,vocational,unemployed,low,married,1,mortgage,0,good,rural
58,vocational,employed,high,married,2_plus,owned,0,fair,suburban
61,high_school,self_employed,middle,separated,2_plus,mortgage,1,good,urban
21,vocational,student,middle,single,2_plus,mortgage,2_plus,good,rural
46,postgraduate,employed,high,married,0,owned,2_plus,fair,rural
29,high_school,employed,high,single,2_plus,owned,1,good,urban
41,bachelor,employed,middle,married,2_plus,mortgage,0,good,urban
37,vocational,employed,middle,single,2_plus,rent,1,fair,rural
44,high_school,employed,high,married,2_plus,owned,1,fair,suburban
32,high_school,employed,low,married,2_plus,owned,1,good,urban
46,high_school,employed,middle,married,2_plus,mortgage,0,poor,rural
40,vocational,employed,middle,separated,2_plus,owned,0,good,urban
56,vocational,employed,high,married,0,mortgage,1,fair,urban
27,postgraduate,employed,middle,married,0,rent,0,good,rural
51,vocational,student,middle,single,0,owned,2_plus,fair,rural
49,postgraduate,self_employed,low,single,0,mortgage,1,fair,urban
35,bachelor,employed,middle,married,0,mortgage,1,poor,urban
40,bachelor,employed,middle,separated,1,owned,1,fair,urban
23,high_school,self_employed,middle,separated,2_plus,owned,1,good,urban
32,bachelor,employed,middle,married,2_plus,mortgage,2_plus,good,suburban
55,postgraduate,employed,middle,married,2_plus,owned,2_plus,fair,suburban
38,vocational,employed,low,married,2_plus,owned,0,fair,rural
43,vocational,employed,low,married,2_plus,rent,0,poor,rural
39,high_school,employed,middle,single,0,mortgage,1,poor,suburban
43,bachelor,employed,middle,single,0,owned,2_plus,poor,rural
72,bachelor,retired,low,married,0,owned,1,poor,suburban
19,postgraduate,employed,high,single,2_plus,mortgage,2_plus,good,urban
25,vocational,employed,middle,married,0,mortgage,0,good,suburban
44,bachelor,employed,low,married,0,rent,0,good,urban
73,bachelor,employed,high,married,2_plus,owned,0,poor,urban
19,bachelor,unemployed,low,married,1,rent,1,good,suburban
19,vocational,self_employed,middle,married,2_plus,rent,1,fair,suburban
41,vocational,student,low,married,0,rent,0,fair,suburban
58,high_school,employed,low,single,0,mortgage,0,good,urban
19,bachelor,student,low,married,1,mortgage,0,good,urban
33,vocational,employed,middle,single,2_plus,rent,2_plus,good,rural
48,bachelor,self_employed,middle,single,2_plus,mortgage,1,good,urban
40,vocational,employed,low,single,0,mortgage,0,good,suburban
42,high_school,employed,high,single,0,owned,1,good,suburban
49,postgraduate,employed,middle,married,2_plus,owned,1,good,urban
28,vocational,employed,middle,single,1,rent,2_plus,good,suburban
43,high_school,employed,low,single,0,owned,2_plus,fair,urban
56,bachelor,employed,middle,married,2_plus,owned,1,good,urban
40,bachelor,employed,middle,married,2_plus,mortgage,1,fair,urban
72,vocational,retired,low,single,0,rent,2_plus,fair,rural
45,bachelor,employed,middle,married,2_plus,owned,1,good,rural
26,vocational,self_employed,high,married,2_plus,owned,1,good,rural
20,high_school,self_employed,middle,married,0,mortgage,0,good,urban
36,vocational,employed,middle,single,2_plus,mortgage,1,good,urban
54,vocational,employed,high,separated,0,rent,1,good,suburban
25,bachelor,employed,middle,single,2_plus,owned,1,good,suburban
32,bachelor,employed,high,married,0,owned,1,good,rural
26,postgraduate,employed,middle,single,0,rent,2_plus,good,rural
55,postgraduate,student,middle,single,0,owned,1,fair,urban
26,postgraduate,employed,middle,married,0,mortgage,1,fair,urban
85,bachelor,retired,middle,married,1,mortgage,0,poor,suburban
39,vocational,employed,high,married,1,owned,1,good,suburban
32,bachelor,employed,middle,married,2_plus,mortgage,0,fair,urban
35,high_school,employed,middle,single,2_plus,mortgage,0,good,rural
34,high_school,self_employed,middle,married,2_plus,rent,1,good,urban
79,high_school,retired,low,single,0,owned,2_plus,poor,urban
24,bachelor,employed,high,single,2_plus,owned,1,good,urban
23,bachelor,employed,middle,married,2_plus,mortgage,0,good,urban
56,postgraduate,employed,high,married,2_plus,rent,0,poor,urban
47,bachelor,employed,middle,separated,1,owned,2_plus,good,suburban
35,bachelor,employed,middle,married,2_plus,mortgage,1,good,rural
36,vocational,retired,middle,married,2_plus,owned,0,fair,urban
59,high_school,self_employed,middle,married,2_plus,rent,1,fair,urban
47,bachelor,employed,middle,separated,2_plus,mortgage,0,fair,urban
33,bachelor,self_employed,middle,married,1,owned,1,fair,suburban
64,postgraduate,employed,middle,separated,2_plus,mortgage,2_plus,poor,rural
57,vocational,retired,low,separated,2_plus,rent,0,good,rural
52,bachelor,employed,low,married,1,mortgage,0,good,urban
74,postgraduate,retired,middle,married,2_plus,mortgage,1,fair,urban
55,bachelor,employed,middle,single,0,owned,1,fair,urban
37,bachelor,employed,middle,single,0,owned,1,good,rural
44,bachelor,employed,high,married,0,owned,1,good,urban
44,postgraduate,employed,middle,single,0,mortgage,1,good,suburban
31,bachelor,student,middle,single,0,mortgage,0,good,suburban
75,vocational,retired,low,single,0,rent,1,good,urban
32,bachelor,employed,low,single,1,owned,0,good,rural
58,bachelor,employed,high,single,2_plus,rent,0,good,urban
34,vocational,employed,low,single,2_plus,rent,1,poor,suburban
52,bachelor,employed,high,single,2_plus,owned,1,good,urban
49,bachelor,employed,high,single,0,mortgage,1,fair,rural
34,high_school,employed,middle,single,1,owned,1,good,urban
71,bachelor,retired,high,married,2_plus,owned,2_plus,fair,suburban
55,high_school,employed,low,separated,2_plus,owned,1,good,urban
42,high_school,employed,middle,married,2_plus,mortgage,1,fair,suburban
33,bachelor,employed,high,single,2_plus,rent,1,good,urban
53,vocational,retired,middle,married,2_plus,rent,0,good,urban
25,vocational,unemployed,low,married,1,owned,1,fair,rural
29,bachelor,employed,middle,single,0,rent,1,good,rural
39,high_school,employed,middle,married,2_plus,rent,1,good,suburban
70,vocational,student,middle,married,2_plus,rent,0,good,rural
53,vocational,unemployed,low,married,2_plus,owned,0,fair,rural
40,vocational,employed,low,married,2_plus,owned,0,good,urban
40,bachelor,employed,low,married,0,mortgage,1,good,rural
55,bachelor,employed,middle,married,0,owned,1,poor,suburban
53,high_school,employed,middle,married,2_plus,mortgage,1,good,suburban
45,bachelor,self_employed,low,married,2_plus,mortgage,0,fair,rural
39,postgraduate,retired,middle,married,1,owned,0,good,urban
32,high_school,employed,low,single,1,owned,0,good,rural
46,postgraduate,employed,middle,married,1,mortgage,2_plus,good,suburban
58,postgraduate,retired,middle,separated,2_plus,owned,1,good,suburban
42,high_school,employed,middle,single,0,owned,0,good,urban
47,postgraduate,employed,middle,married,1,rent,1,fair,rural
48,bachelor,self_employed,low,married,0,owned,0,good,suburban
54,high_school,employed,middle,single,0,mortgage,0,good,suburban
48,bachelor,employed,high,married,2_plus,rent,1,fair,rural
47,vocational,employed,low,married,2_plus,owned,0,good,rural
44,high_school,employed,high,single,2_plus,owned,1,good,suburban
32,bachelor,employed,middle,married,2_plus,owned,1,fair,urban
29,vocational,self_employed,middle,single,0,owned,1,fair,urban
54,vocational,employed,middle,married,2_plus,mortgage,1,good,urban
64,postgraduate,unemployed,low,married,1,rent,0,good,urban
42,bachelor,retired,low,married,2_plus,mortgage,1,poor,suburban
34,vocational,employed,middle,single,0,owned,2_plus,fair,rural
37,postgraduate,employed,low,separated,1,owned,0,fair,suburban
52,vocational,employed,low,single,0,owned,1,fair,rural
42,vocational,employed,middle,married,2_plus,rent,1,fair,urban
61,vocational,self_employed,middle,single,0,owned,2_plus,poor,urban
51,bachelor,employed,low,married,2_plus,owned,0,good,rural
53,vocational,employed,middle,married,1,mortgage,2_plus,good,urban
64,vocational,employed,high,married,2_plus,owned,1,fair,urban
27,bachelor,unemployed,low,single,0,mortgage,1,fair,suburban
