age,education,employment,income,marital,children,housing,vehicle,health,region
57,bachelor,self_employed,high,married,2_plus,rent,2_plus,fair,urban
57,high_school,employed,middle,married,2_plus,rent,0,poor,suburban
23,vocational,employed,low,single,0,rent,0,good,urban
64,vocational,self_employed,middle,married,2_plus,rent,0,poor,urban
50,vocational,employed,middle,single,1,mortgage,1,fair,urban
52,high_school,employed,low,separated,2_plus,owned,1,fair,rural
62,bachelor,employed,middle,single,2_plus,mortgage,1,good,suburban
34,bachelor,employed,low,married,2_plus,rent,0,good,urban
38,bachelor,student,middle,separated,1,mortgage,0,good,urban
39,high_school,employed,low,single,2_plus,owned,1,good,rural
63,vocational,employed,middle,married,2_plus,owned,1,fair,suburban
41,bachelor,employed,high,married,2_plus,mortgage,2_plus,good,suburban
39,postgraduate,self_employed,middle,single,0,mortgage,1,good,rural
47,bachelor,employed,low,single,0,owned,0,good,rural
53,high_school,retired,low,married,2_plus,owned,1,fair,urban
29,bachelor,employed,high,single,0,rent,1,good,urban
59,postgraduate,employed,middle,single,1,owned,0,fair,urban
43,bachelor,self_employed,middle,separated,2_plus,rent,1,good,suburban
18,high_school,retired,low,single,1,rent,0,good,urban
35,vocational,unemployed,low,married,1,mortgage,1,good,rural
62,vocational,unemployed,low,single,0,owned,0,good,rural
46,bachelor,employed,low,married,0,mortgage,0,poor,urban
62,postgraduate,retired,low,married,0,rent,0,fair,urban
30,high_school,employed,middle,single,0,rent,2_plus,fair,rural
47,vocational,employed,middle,married,2_plus,mortgage,0,good,suburban
39,bachelor,employed,high,married,1,mortgage,1,good,urban
56,vocational,employed,low,single,2_plus,owned,1,fair,suburban
61,bachelor,self_employed,high,separated,2_plus,owned,2_plus,good,rural
26,postgraduate,employed,middle,married,1,mortgage,2_plus,good,urban
39,bachelor,employed,high,married,2_plus,owned,2_plus,good,urban
36,postgraduate,employed,middle,married,2_plus,owned,1,fair,urban
74,bachelor,retired,middle,married,0,owned,2_plus,fair,urban
24,bachelor,employed,middle,single,0,rent,1,good,suburban
37,vocational,unemployed,low,married,2_plus,mortgage,1,fair,rural
55,bachelor,employed,middle,married,2_plus,owned,1,good,suburban
41,high_school,unemployed,low,separated,0,mortgage,0,good,urban
48,bachelor,employed,middle,married,2_plus,rent,2_plus,good,urban
19,bachelor,employed,low,single,0,mortgage,1,good,rural
42,postgraduate,employed,middle,single,0,mortgage,1,good,urban
38,high_school,employed,middle,married,2_plus,rent,0,good,rural
50,postgraduate,employed,low,single,2_plus,owned,1,good,suburban
61,postgraduate,employed,middle,separated,2_plus,mortgage,0,fair,urban
35,postgraduate,self_employed,low,married,2_plus,rent,0,fair,urban
39,vocational,self_employed,middle,married,1,mortgage,0,fair,rural
75,high_school,retired,middle,separated,2_plus,mortgage,1,poor,rural
42,bachelor,employed,low,separated,1,rent,0,good,urban
18,vocational,student,low,single,0,rent,0,good,rural
64,vocational,employed,middle,married,2_plus,owned,0,good,suburban
61,bachelor,employed,high,married,2_plus,mortgage,1,poor,urban
64,high_school,retired,low,married,1,rent,1,good,urban
36,vocational,employed,middle,married,2_plus,owned,1,good,urban
45,vocational,self_employed,high,separated,2_plus,mortgage,1,good,suburban
54,vocational,employed,high,single,2_plus,owned,2_plus,fair,rural
43,high_school,employed,middle,married,1,mortgage,1,fair,urban
63,bachelor,employed,middle,separated,2_plus,owned,2_plus,fair,suburban
54,bachelor,employed,middle,married,2_plus,owned,0,poor,suburban
32,bachelor,employed,middle,single,1,mortgage,1,fair,urban
37,bachelor,unemployed,low,married,2_plus,rent,1,good,urban
39,vocational,employed,middle,married,1,rent,1,good,suburban
49,vocational,employed,middle,married,0,owned,1,good,urban
56,vocational,retired,middle,separated,2_plus,owned,0,fair,urban
42,bachelor,self_employed,low,single,0,owned,0,fair,suburban
54,vocational,employed,middle,single,0,rent,1,good,urban
36,postgraduate,self_employed,middle,single,0,rent,1,good,suburban
41,vocational,employed,middle,single,0,mortgage,2_plus,good,rural
78,bachelor,self_employed,middle,separated,0,owned,2_plus,fair,urban
56,bachelor,employed,middle,married,2_plus,mortgage,0,good,urban
61,postgraduate,retired,high,married,2_plus,owned,2_plus,fair,rural
40,bachelor,employed,middle,married,2_plus,owned,1,good,suburban
31,bachelor,employed,middle,separated,2_plus,rent,1,good,urban
23,vocational,employed,middle,single,0,rent,1,good,urban
34,vocational,employed,middle,married,0,rent,0,good,suburban
41,bachelor,employed,high,married,2_plus,owned,1,good,suburban
35,bachelor,employed,high,married,2_plus,owned,1,poor,urban
32,bachelor,employed,low,single,0,rent,0,good,rural
42,bachelor,employed,middle,married,1,mortgage,0,fair,urban
33,vocational,unemployed,low,married,0,rent,1,fair,urban
74,postgraduate,employed,middle,separated,2_plus,owned,0,fair,urban
28,bachelor,self_employed,low,single,0,mortgage,0,good,urban
35,postgraduate,employed,high,single,0,owned,1,fair,urban
74,high_school,retired,middle,married,2_plus,owned,1,good,suburban
31,vocational,employed,middle,single,0,rent,1,good,suburban
61,bachelor,employed,middle,single,0,owned,1,good,rural
33,vocational,employed,middle,married,0,rent,2_plus,fair,suburban
38,vocational,employed,middle,married,2_plus,mortgage,1,good,rural
78,bachelor,retired,low,separated,2_plus,rent,1,fair,urban
23,bachelor,self_employed,low,separated,0,mortgage,0,good,urban
27,bachelor,unemployed,low,married,0,mortgage,1,fair,rural
40,bachelor,employed,high,married,1,owned,2_plus,fair,urban
62,vocational,employed,middle,single,0,owned,0,good,suburban
30,bachelor,employed,low,married,2_plus,rent,0,good,suburban
57,high_school,employed,low,separated,2_plus,owned,0,good,urban
31,high_school,employed,middle,single,0,rent,0,good,rural
75,postgraduate,retired,middle,separated,2_plus,mortgage,2_plus,good,suburban
64,postgraduate,employed,high,married,2_plus,mortgage,1,fair,urban
23,vocational,employed,low,single,0,rent,0,fair,urban
50,high_school,retired,low,single,2_plus,owned,0,fair,rural
37,bachelor,employed,high,married,1,owned,2_plus,fair,suburban
43,bachelor,employed,middle,married,0,mortgage,0,good,urban
33,vocational,employed,middle,married,1,rent,0,fair,urban
51,vocational,employed,middle,single,1,owned,1,fair,urban
60,vocational,employed,high,married,2_plus,owned,1,fair,urban
32,bachelor,employed,high,single,1,owned,1,good,rural
32,high_school,employed,middle,single,1,mortgage,2_plus,fair,rural
83,postgraduate,retired,middle,married,2_plus,mortgage,1,fair,urban
