age,education,employment,income,marital,children,housing,vehicle,health,region
40,high_school,employed,high,married,2_plus,owned,1,good,suburban
38,postgraduate,employed,middle,married,2_plus,owned,1,fair,suburban
71,vocational,retired,high,single,0,rent,2_plus,poor,suburban
54,bachelor,employed,middle,married,2_plus,owned,1,good,rural
39,high_school,employed,low,single,2_plus,rent,1,good,urban
36,vocational,self_employed,low,married,2_plus,rent,0,poor,rural
19,bachelor,self_employed,middle,married,2_plus,owned,1,good,suburban
51,high_school,employed,middle,married,2_plus,owned,1,fair,suburban
49,vocational,retired,middle,married,2_plus,owned,1,fair,urban
32,high_school,employed,middle,married,0,mortgage,0,good,urban
51,postgraduate,employed,low,married,2_plus,mortgage,2_plus,good,suburban
62,vocational,student,low,married,2_plus,rent,1,good,rural
84,bachelor,self_employed,low,single,1,mortgage,1,fair,urban
53,vocational,employed,middle,married,1,rent,1,good,suburban
58,postgraduate,employed,middle,single,2_plus,mortgage,1,good,suburban
30,postgraduate,employed,middle,single,0,mortgage,2_plus,good,suburban
49,bachelor,employed,middle,married,2_plus,mortgage,2_plus,fair,suburban
20,high_school,self_employed,low,married,2_plus,owned,0,good,suburban
58,vocational,student,middle,married,0,mortgage,0,poor,suburban
61,high_school,student,low,separated,0,rent,0,fair,rural
68,high_school,retired,low,married,2_plus,mortgage,0,poor,urban
62,vocational,employed,middle,single,2_plus,owned,1,good,urban
62,bachelor,employed,low,married,1,rent,1,good,urban
80,vocational,retired,low,married,2_plus,rent,1,poor,suburban
47,bachelor,employed,high,married,1,mortgage,1,good,suburban
56,vocational,unemployed,middle,single,0,rent,1,good,suburban
73,vocational,retired,low,married,2_plus,rent,0,good,urban
58,postgraduate,employed,middle,single,0,owned,2_plus,good,rural
50,bachelor,self_employed,high,married,2_plus,rent,2_plus,good,rural
45,high_school,employed,low,married,2_plus,owned,0,fair,urban
27,vocational,student,middle,single,0,mortgage,1,good,urban
58,bachelor,employed,middle,married,1,owned,1,good,urban
37,vocational,employed,low,single,0,rent,1,good,suburban
19,vocational,self_employed,middle,married,2_plus,mortgage,2_plus,good,rural
30,high_school,unemployed,low,married,1,rent,1,fair,suburban
18,bachelor,employed,middle,single,2_plus,mortgage,1,good,urban
34,vocational,employed,middle,single,0,mortgage,0,fair,urban
80,vocational,retired,middle,single,0,rent,2_plus,good,urban
52,high_school,unemployed,low,single,0,mortgage,0,good,rural
24,vocational,unemployed,low,married,2_plus,owned,0,fair,suburban
29,vocational,unemployed,middle,single,0,owned,1,poor,urban
32,high_school,employed,low,single,2_plus,rent,1,good,rural
32,vocational,employed,low,married,2_plus,rent,0,good,rural
39,bachelor,employed,middle,married,2_plus,mortgage,0,fair,rural
53,high_school,retired,low,single,2_plus,rent,2_plus,good,urban
39,bachelor,unemployed,low,separated,1,owned,0,fair,suburban
30,bachelor,retired,middle,single,0,mortgage,2_plus,good,rural
59,postgraduate,employed,middle,married,0,owned,1,fair,suburban
27,postgraduate,employed,low,married,1,owned,1,fair,rural
38,vocational,employed,low,single,0,rent,0,poor,rural
28,vocational,employed,middle,single,0,owned,1,fair,rural
52,bachelor,employed,middle,married,2_plus,owned,0,good,rural
32,high_school,unemployed,middle,single,0,owned,1,good,suburban
39,bachelor,employed,middle,separated,1,owned,1,good,rural
39,bachelor,employed,middle,married,2_plus,owned,2_plus,good,rural
52,vocational,employed,middle,married,1,owned,0,fair,suburban
38,bachelor,employed,middle,married,0,rent,1,good,suburban
57,high_school,employed,low,single,2_plus,mortgage,1,fair,suburban
30,bachelor,employed,high,married,2_plus,owned,1,good,suburban
36,bachelor,employed,high,single,0,owned,1,good,urban
31,high_school,employed,low,single,2_plus,rent,1,good,urban
36,vocational,employed,middle,married,1,owned,1,fair,rural
47,high_school,employed,low,married,1,owned,1,fair,urban
34,high_school,employed,middle,married,2_plus,owned,1,good,urban
44,bachelor,self_employed,middle,married,2_plus,owned,1,poor,urban
35,high_school,employed,middle,separated,2_plus,owned,1,fair,urban
73,postgraduate,retired,middle,married,2_plus,owned,1,poor,urban
42,high_school,employed,high,married,2_plus,rent,0,good,urban
43,high_school,self_employed,middle,married,0,rent,1,fair,urban
63,bachelor,employed,middle,single,2_plus,mortgage,0,good,suburban
48,vocational,employed,low,married,0,rent,1,good,urban
68,high_school,retired,high,married,0,rent,1,poor,urban
73,vocational,retired,middle,separated,2_plus,mortgage,1,fair,rural
21,vocational,student,middle,single,0,owned,2_plus,good,rural
