age,education,employment,income,marital,children,housing,vehicle,health,region
23,bachelor,employed,middle,single,0,rent,2_plus,good,urban
71,postgraduate,retired,middle,separated,2_plus,mortgage,0,fair,suburban
34,bachelor,employed,low,single,0,rent,0,good,suburban
76,vocational,retired,low,married,2_plus,owned,2_plus,poor,rural
20,high_school,student,low,single,0,mortgage,1,fair,rural
40,high_school,employed,middle,married,2_plus,mortgage,0,good,rural
61,high_school,employed,middle,separated,2_plus,owned,0,good,suburban
42,high_school,employed,low,married,2_plus,owned,0,good,suburban
45,bachelor,self_employed,low,married,2_plus,mortgage,0,good,urban
20,bachelor,employed,middle,single,0,rent,2_plus,good,urban
54,vocational,employed,low,single,1,rent,1,fair,suburban
43,postgraduate,self_employed,middle,separated,2_plus,mortgage,1,good,urban
48,bachelor,employed,high,married,2_plus,mortgage,1,fair,rural
56,postgraduate,employed,middle,single,0,mortgage,1,good,urban
38,vocational,employed,middle,married,2_plus,mortgage,1,good,rural
41,bachelor,employed,middle,married,0,owned,0,fair,suburban
30,bachelor,employed,high,single,0,rent,1,fair,urban
47,vocational,self_employed,high,married,2_plus,rent,2_plus,good,rural
30,postgraduate,employed,low,single,0,rent,1,fair,rural
25,bachelor,unemployed,low,married,0,owned,0,fair,rural
68,vocational,unemployed,low,separated,1,owned,1,fair,rural
35,bachelor,employed,low,married,2_plus,rent,0,poor,urban
79,vocational,retired,low,separated,2_plus,owned,1,fair,suburban
76,bachelor,employed,low,separated,2_plus,owned,1,good,urban
41,postgraduate,employed,high,single,1,mortgage,1,good,urban
59,vocational,unemployed,middle,married,2_plus,rent,0,good,urban
50,vocational,unemployed,low,married,2_plus,rent,0,good,urban
39,bachelor,self_employed,high,separated,2_plus,mortgage,1,good,urban
28,bachelor,employed,high,married,0,rent,2_plus,good,suburban
19,bachelor,student,low,single,0,mortgage,0,good,suburban
50,bachelor,employed,high,separated,2_plus,owned,0,good,suburban
31,high_school,student,middle,married,1,rent,2_plus,good,suburban
56,vocational,employed,middle,married,2_plus,rent,1,poor,urban
59,bachelor,employed,middle,married,0,owned,0,good,rural
49,bachelor,self_employed,middle,married,2_plus,rent,1,good,suburban
76,vocational,retired,middle,separated,1,owned,1,fair,suburban
29,vocational,employed,low,married,1,owned,0,good,rural
35,bachelor,student,low,married,2_plus,mortgage,0,fair,urban
38,postgraduate,self_employed,middle,married,1,mortgage,0,good,suburban
19,high_school,employed,middle,married,1,rent,1,good,urban
62,high_school,employed,middle,married,2_plus,owned,1,good,suburban
53,vocational,retired,middle,married,0,owned,1,good,suburban
41,bachelor,employed,middle,married,2_plus,rent,1,good,suburban
32,high_school,student,low,married,0,rent,1,good,suburban
60,vocational,retired,low,married,1,rent,1,fair,urban
50,vocational,employed,high,separated,2_plus,owned,2_plus,fair,rural
36,vocational,employed,low,married,2_plus,mortgage,0,good,suburban
50,high_school,self_employed,low,single,2_plus,mortgage,0,good,urban
32,vocational,employed,middle,single,0,rent,1,fair,suburban
37,vocational,unemployed,low,married,0,owned,0,good,rural
57,high_school,employed,low,married,2_plus,owned,1,good,urban
64,postgraduate,employed,middle,single,0,owned,1,good,urban
25,bachelor,employed,middle,single,0,mortgage,1,good,rural
59,vocational,employed,middle,separated,2_plus,mortgage,1,good,urban
66,bachelor,retired,middle,single,0,owned,2_plus,poor,rural
25,bachelor,employed,high,married,0,rent,1,good,urban
38,bachelor,unemployed,low,married,2_plus,owned,1,fair,urban
51,vocational,self_employed,low,married,0,mortgage,0,fair,urban
36,high_school,employed,middle,married,2_plus,owned,0,good,urban
36,vocational,employed,middle,married,2_plus,rent,1,good,urban
65,high_school,retired,low,married,2_plus,rent,1,poor,rural
54,high_school,retired,low,single,2_plus,owned,1,good,rural
41,postgraduate,employed,middle,married,0,rent,0,good,urban
23,bachelor,student,middle,separated,0,rent,0,good,urban
34,postgraduate,employed,low,separated,2_plus,rent,0,good,urban
47,high_school,employed,middle,single,0,mortgage,0,good,rural
26,vocational,employed,low,married,0,rent,0,fair,suburban
53,bachelor,retired,low,single,0,owned,0,good,urban
52,postgraduate,employed,middle,married,2_plus,rent,0,fair,urban
63,high_school,self_employed,middle,separated,1,rent,2_plus,fair,urban
19,high_school,student,low,single,1,rent,0,good,urban
47,vocational,self_employed,high,married,1,mortgage,0,good,urban
42,bachelor,employed,middle,married,2_plus,owned,1,good,urban
45,vocational,employed,middle,married,1,owned,2_plus,fair,rural
65,postgraduate,retired,low,single,1,owned,1,fair,suburban
21,high_school,employed,low,separated,2_plus,owned,1,good,rural
57,postgraduate,retired,high,married,2_plus,owned,2_plus,fair,rural
76,high_school,retired,middle,married,1,mortgage,1,good,urban
53,high_school,employed,low,separated,1,owned,1,fair,suburban
57,postgraduate,employed,middle,single,2_plus,owned,0,poor,urban
64,high_school,retired,low,married,1,owned,0,fair,suburban
40,bachelor,employed,middle,single,1,owned,1,good,suburban
66,postgraduate,retired,middle,married,2_plus,owned,1,poor,suburban
68,bachelor,retired,low,separated,2_plus,rent,0,poor,urban
63,high_school,retired,low,separated,2_plus,mortgage,0,good,suburban
20,bachelor,student,low,single,1,rent,0,good,urban
64,vocational,employed,middle,married,1,owned,1,good,urban
40,bachelor,employed,high,married,2_plus,owned,2_plus,good,suburban
60,bachelor,employed,high,married,1,owned,2_plus,fair,suburban
23,vocational,employed,middle,single,0,rent,2_plus,good,rural
55,vocational,retired,middle,married,2_plus,owned,1,fair,rural
34,vocational,employed,middle,single,0,rent,0,fair,urban
41,postgraduate,employed,middle,single,2_plus,rent,1,fair,urban
47,postgraduate,employed,middle,married,2_plus,rent,1,fair,urban
29,postgraduate,unemployed,low,married,2_plus,rent,0,good,suburban
80,high_school,retired,low,separated,0,owned,0,fair,suburban
34,vocational,self_employed,middle,married,0,rent,2_plus,good,rural
57,high_school,employed,high,married,2_plus,mortgage,1,fair,suburban
42,bachelor,employed,middle,married,0,owned,1,good,suburban
61,bachelor,retired,middle,separated,2_plus,mortgage,0,poor,suburban
35,vocational,unemployed,low,married,0,rent,0,poor,suburban
38,high_school,employed,middle,married,1,rent,0,good,urban
64,bachelor,employed,high,separated,1,owned,1,good,urban
63,vocational,retired,low,married,2_plus,owned,1,fair,suburban
29,bachelor,self_employed,high,single,0,owned,2_plus,fair,rural
39,postgraduate,employed,high,married,2_plus,owned,2_plus,fair,urban
38,high_school,employed,middle,single,0,mortgage,2_plus,good,rural
28,bachelor,employed,middle,separated,1,mortgage,1,good,suburban
70,bachelor,self_employed,high,married,2_plus,owned,2_plus,poor,urban
36,bachelor,employed,middle,married,2_plus,mortgage,1,poor,suburban
38,bachelor,employed,middle,single,2_plus,owned,1,poor,suburban
48,bachelor,employed,high,married,1,mortgage,2_plus,fair,urban
32,bachelor,employed,high,single,0,owned,1,good,rural
55,vocational,employed,middle,single,2_plus,owned,0,good,suburban
57,high_school,employed,middle,married,2_plus,owned,1,fair,rural
31,bachelor,student,low,single,0,rent,2_plus,good,rural
37,bachelor,employed,high,married,2_plus,owned,1,good,urban
39,high_school,employed,high,married,0,rent,1,good,urban
50,high_school,self_employed,middle,married,2_plus,rent,1,good,rural
35,bachelor,employed,middle,single,0,mortgage,0,fair,urban
42,high_school,employed,middle,single,2_plus,owned,0,good,rural
44,high_school,unemployed,low,separated,2_plus,owned,0,fair,urban
58,high_school,employed,high,separated,2_plus,mortgage,1,good,urban
64,high_school,employed,high,single,1,owned,1,poor,suburban
36,vocational,employed,middle,married,1,mortgage,1,good,urban
23,bachelor,employed,low,single,0,rent,1,good,suburban
28,bachelor,employed,middle,single,0,owned,1,fair,rural
33,vocational,employed,middle,married,0,rent,1,poor,urban
37,vocational,retired,middle,married,2_plus,owned,2_plus,fair,urban
39,high_school,employed,low,single,0,rent,1,good,urban
40,high_school,employed,low,married,2_plus,owned,0,poor,urban
49,high_school,employed,middle,single,0,owned,0,good,suburban
80,postgraduate,retired,middle,married,1,rent,2_plus,poor,urban
63,vocational,employed,middle,married,0,rent,0,good,urban
56,postgraduate,employed,middle,single,1,mortgage,1,good,urban
56,vocational,employed,middle,single,1,mortgage,1,good,urban
40,vocational,unemployed,low,married,2_plus,rent,1,good,rural
21,high_school,unemployed,low,single,0,rent,0,good,rural
49,vocational,employed,low,single,0,owned,1,good,rural
49,bachelor,employed,middle,married,2_plus,mortgage,1,good,rural
24,vocational,student,low,married,0,rent,0,good,urban
40,postgraduate,employed,middle,married,2_plus,owned,0,poor,urban
32,high_school,retired,middle,married,0,rent,0,poor,urban
31,postgraduate,employed,middle,single,0,mortgage,1,good,urban
47,vocational,employed,middle,single,1,owned,1,good,rural
52,high_school,employed,middle,single,2_plus,owned,1,good,suburban
49,postgraduate,employed,high,single,0,mortgage,1,fair,urban
76,bachelor,self_employed,middle,separated,1,owned,1,poor,suburban
44,vocational,self_employed,middle,single,0,mortgage,1,good,rural
29,high_school,employed,middle,separated,0,mortgage,0,good,rural
66,bachelor,employed,low,separated,2_plus,mortgage,1,fair,urban
41,bachelor,employed,middle,single,1,mortgage,0,good,urban
49,vocational,employed,high,married,2_plus,owned,2_plus,good,suburban
61,vocational,employed,high,separated,2_plus,mortgage,1,good,urban
27,bachelor,employed,middle,single,2_plus,rent,0,good,urban
64,bachelor,employed,middle,married,2_plus,mortgage,1,good,suburban
25,vocational,employed,middle,married,1,mortgage,2_plus,fair,rural
49,bachelor,employed,middle,married,0,rent,1,good,urban
45,postgraduate,employed,middle,married,0,mortgage,1,good,rural
24,high_school,student,low,single,0,rent,1,good,urban
43,bachelor,employed,high,married,0,mortgage,1,good,urban
32,vocational,employed,middle,single,0,rent,0,fair,urban
54,vocational,employed,middle,single,0,rent,0,good,urban
78,vocational,retired,middle,married,0,owned,2_plus,poor,suburban
49,bachelor,employed,middle,married,2_plus,mortgage,1,good,urban
47,high_school,employed,middle,married,2_plus,rent,1,good,suburban
31,high_school,employed,middle,married,0,owned,1,good,urban
63,bachelor,student,low,single,0,owned,0,good,urban
40,bachelor,self_employed,high,single,2_plus,mortgage,2_plus,fair,suburban
65,high_school,retired,middle,single,2_plus,rent,1,poor,urban
59,vocational,employed,low,married,2_plus,owned,2_plus,good,rural
58,bachelor,self_employed,low,separated,2_plus,owned,0,fair,urban
44,bachelor,employed,low,single,2_plus,rent,1,good,suburban
40,bachelor,employed,middle,separated,2_plus,rent,1,good,urban
49,bachelor,employed,middle,separated,2_plus,mortgage,2_plus,fair,suburban
44,bachelor,employed,middle,separated,2_plus,rent,0,good,urban
22,bachelor,employed,middle,single,0,rent,1,good,suburban
30,bachelor,employed,middle,single,0,rent,1,good,urban
49,postgraduate,employed,high,married,2_plus,owned,1,fair,urban
44,vocational,employed,middle,single,0,mortgage,0,good,suburban
57,bachelor,employed,middle,married,1,owned,0,fair,urban
44,bachelor,employed,middle,separated,1,mortgage,2_plus,good,rural
34,high_school,unemployed,middle,single,0,rent,1,good,urban
78,high_school,unemployed,middle,married,2_plus,owned,1,good,urban
73,postgraduate,retired,high,married,0,owned,2_plus,fair,urban
40,vocational,employed,low,married,2_plus,mortgage,1,poor,rural
80,bachelor,unemployed,low,married,2_plus,owned,1,poor,suburban
30,high_school,employed,middle,married,1,mortgage,2_plus,fair,urban
84,vocational,self_employed,middle,single,2_plus,owned,0,poor,suburban
56,high_school,employed,middle,married,2_plus,rent,1,good,urban
76,high_school,employed,middle,single,0,rent,0,fair,suburban
34,postgraduate,self_employed,middle,separated,0,rent,2_plus,good,urban
36,high_school,employed,middle,married,0,rent,1,fair,rural
57,bachelor,employed,high,married,2_plus,owned,1,good,urban
47,postgraduate,employed,middle,married,0,mortgage,2_plus,good,suburban
42,postgraduate,employed,high,married,2_plus,mortgage,0,fair,suburban
47,bachelor,employed,middle,separated,2_plus,owned,1,good,urban
39,high_school,employed,middle,single,0,rent,2_plus,good,rural
34,vocational,employed,low,married,2_plus,owned,0,fair,urban
27,bachelor,employed,high,married,1,mortgage,1,poor,urban
35,vocational,self_employed,middle,married,0,mortgage,1,poor,urban
30,high_school,self_employed,middle,single,0,mortgage,1,good,suburban
53,bachelor,self_employed,low,married,0,rent,0,good,urban
61,bachelor,employed,middle,married,2_plus,owned,0,good,urban
57,postgraduate,employed,middle,married,1,mortgage,1,fair,urban
60,bachelor,retired,middle,married,1,mortgage,1,poor,suburban
64,high_school,employed,middle,single,0,rent,1,good,suburban
45,vocational,employed,middle,married,1,rent,1,fair,rural
52,high_school,employed,middle,married,2_plus,owned,0,fair,urban
34,bachelor,employed,high,single,0,rent,2_plus,good,suburban
63,postgraduate,self_employed,middle,single,2_plus,mortgage,1,fair,urban
70,vocational,retired,low,married,1,owned,0,fair,urban
79,vocational,retired,middle,separated,2_plus,mortgage,1,poor,urban
54,postgraduate,self_employed,middle,separated,2_plus,owned,0,fair,rural
49,postgraduate,unemployed,middle,single,2_plus,mortgage,1,good,rural
58,vocational,employed,middle,married,2_plus,mortgage,0,good,urban
19,bachelor,employed,low,married,0,owned,0,good,suburban
27,bachelor,student,low,single,0,mortgage,0,good,urban
51,bachelor,employed,low,married,2_plus,mortgage,0,poor,urban
26,bachelor,employed,middle,married,1,mortgage,0,fair,urban
30,high_school,unemployed,low,married,1,rent,1,good,rural
85,high_school,retired,low,married,2_plus,owned,0,good,urban
34,bachelor,employed,high,single,0,mortgage,2_plus,good,rural
26,vocational,employed,low,single,0,mortgage,0,fair,rural
35,high_school,employed,low,married,0,owned,2_plus,fair,urban
61,high_school,employed,middle,single,0,owned,1,good,rural
40,postgraduate,self_employed,low,married,1,rent,0,fair,suburban
30,postgraduate,unemployed,low,single,0,rent,0,fair,urban
21,high_school,student,middle,single,0,rent,0,good,suburban
27,vocational,employed,low,single,0,rent,1,fair,urban
