age,education,employment,income,marital,children,housing,vehicle,health,region
33,high_school,employed,low,single,0,rent,0,good,rural
25,postgraduate,employed,middle,single,0,mortgage,0,poor,rural
70,bachelor,employed,high,married,1,owned,2_plus,fair,urban
38,vocational,employed,middle,married,0,rent,1,good,suburban
70,high_school,retired,middle,single,2_plus,owned,1,good,urban
33,postgraduate,unemployed,low,single,0,rent,1,fair,urban
83,bachelor,retired,low,married,2_plus,owned,0,poor,urban
43,postgraduate,employed,middle,single,0,mortgage,2_plus,good,urban
50,bachelor,unemployed,low,separated,2_plus,mortgage,0,fair,urban
51,bachelor,employed,high,separated,2_plus,owned,1,good,urban
28,high_school,employed,middle,married,1,rent,2_plus,fair,rural
29,bachelor,student,low,married,0,mortgage,2_plus,fair,suburban
44,postgraduate,employed,middle,separated,2_plus,mortgage,2_plus,fair,urban
29,bachelor,employed,high,single,2_plus,mortgage,2_plus,fair,rural
27,vocational,employed,low,married,0,rent,0,fair,suburban
37,bachelor,employed,low,married,1,mortgage,1,good,urban
45,bachelor,employed,middle,married,1,mortgage,1,fair,urban
32,vocational,employed,middle,married,2_plus,rent,1,good,urban
35,bachelor,employed,middle,married,1,owned,0,good,urban
36,vocational,employed,middle,married,1,mortgage,1,fair,rural
41,bachelor,employed,middle,married,0,mortgage,1,good,urban
55,bachelor,employed,middle,separated,2_plus,mortgage,0,good,urban
63,postgraduate,employed,middle,single,0,mortgage,1,good,suburban
30,postgraduate,employed,middle,married,0,rent,1,good,urban
41,high_school,self_employed,middle,single,0,mortgage,1,good,rural
74,vocational,retired,low,married,2_plus,owned,0,fair,urban
44,bachelor,unemployed,low,married,2_plus,rent,0,fair,suburban
30,postgraduate,employed,middle,single,2_plus,rent,1,poor,suburban
37,vocational,employed,middle,married,1,rent,0,good,urban
46,vocational,self_employed,low,married,1,rent,0,fair,urban
61,vocational,retired,middle,single,0,mortgage,0,good,urban
34,high_school,self_employed,middle,single,0,rent,0,good,suburban
46,vocational,self_employed,low,married,2_plus,mortgage,0,poor,suburban
27,bachelor,student,low,married,2_plus,mortgage,0,good,urban
54,bachelor,self_employed,middle,single,2_plus,owned,0,good,suburban
31,vocational,employed,middle,married,1,rent,1,good,urban
59,vocational,unemployed,low,married,2_plus,owned,1,good,suburban
60,postgraduate,employed,middle,single,2_plus,owned,1,fair,urban
63,bachelor,employed,middle,separated,1,mortgage,1,good,urban
39,vocational,employed,middle,married,2_plus,mortgage,1,good,rural
49,vocational,employed,middle,single,2_plus,mortgage,1,fair,urban
18,bachelor,employed,low,single,0,rent,0,good,urban
36,high_school,self_employed,low,single,2_plus,mortgage,1,good,rural
64,postgraduate,employed,high,married,2_plus,mortgage,1,fair,urban
64,vocational,employed,middle,married,1,owned,2_plus,fair,rural
39,high_school,employed,middle,single,1,rent,1,good,urban
37,postgraduate,employed,high,married,2_plus,owned,1,good,rural
28,bachelor,employed,low,married,1,rent,0,good,urban
50,vocational,employed,high,married,2_plus,owned,2_plus,good,rural
84,vocational,retired,low,married,2_plus,owned,1,fair,urban
31,postgraduate,self_employed,high,single,0,owned,2_plus,good,rural
58,bachelor,employed,low,married,1,owned,1,fair,urban
27,bachelor,employed,low,single,0,rent,0,fair,urban
29,vocational,employed,low,married,2_plus,rent,1,good,urban
70,vocational,retired,middle,married,2_plus,owned,2_plus,poor,suburban
23,vocational,employed,middle,single,0,rent,1,good,urban
42,vocational,employed,low,married,2_plus,owned,2_plus,fair,rural
35,bachelor,unemployed,low,married,1,mortgage,0,fair,urban
53,vocational,retired,low,married,2_plus,mortgage,0,good,rural
80,vocational,employed,middle,married,1,owned,1,poor,urban
21,vocational,employed,middle,single,0,rent,0,good,urban
40,vocational,unemployed,low,married,2_plus,owned,0,fair,urban
27,bachelor,student,low,married,0,rent,0,good,urban
36,high_school,employed,middle,married,2_plus,owned,1,good,suburban
44,postgraduate,employed,middle,married,2_plus,rent,1,poor,suburban
44,bachelor,unemployed,high,married,2_plus,owned,1,good,urban
57,postgraduate,employed,middle,married,1,mortgage,1,good,rural
63,high_school,employed,middle,married,2_plus,owned,1,good,suburban
34,high_school,employed,middle,married,1,owned,1,good,rural
38,bachelor,employed,high,married,2_plus,owned,1,good,urban
44,vocational,employed,low,single,2_plus,rent,1,good,rural
59,vocational,employed,middle,married,2_plus,owned,1,good,rural
27,bachelor,student,middle,married,1,mortgage,2_plus,good,rural
27,bachelor,student,low,single,1,mortgage,1,fair,urban
21,high_school,employed,middle,single,0,rent,2_plus,good,suburban
32,high_school,employed,middle,single,0,rent,1,good,urban
54,vocational,employed,middle,single,2_plus,mortgage,1,good,urban
45,high_school,employed,middle,married,2_plus,rent,0,good,urban
44,high_school,employed,low,separated,2_plus,owned,0,good,rural
19,bachelor,student,low,single,0,mortgage,0,fair,urban
